Proyecto,Vende,Dirección,Tipo,Zona,Alc.,# Gar.,Area,Sub Zona,Piso,Psep13
Punta Oeste,Arq. & Concreto,Cr. 3 Oeste # 5-59,Apto.,Oeste,3,2,137,Santa Teresita,7,"362,476,000"
Norten,Ing. Const. Centenario,Av. 10 N # 7-62,Apto.,Oeste,2,2,137,Sta Monica Nte,D505,"239,409,000"
Oasis de Chipichape,Obasco,Av. 6A Cl. 40,Apto.,Norte,3,2,138,La Flora,6,"210,000,000"
Bilbao Edificio,Habitek,Av. 10 N # 7N-40,Apto.,Oeste,3,2,138,Sta Monica Nte,504,"263,200,000"
La Riviere Avenue,Jaime Cardenas,Cl. 11 Oe Cr. 1 - 2,Apto.,Oeste,1,2,138,Santa Teresita,101,"330,550,000"
Palmera Real Casas Indep.,Const. Melendez,Cr. 83C Cl. 42,Casa,Sur,3,1,138,Caney,2,"188,591,000"
Kusko,Dklar Asociados,Cl. 5 Cr. 63a,Apto.,Sur,3,1,138,El Refugio,2E,"193,000,000"
Ed. Paletara,JM Inm.,Cl. 6 Oe # 6-05,Apto.,Oeste,3,2,138,Cristales,401,"343,970,000"
Mir. de Cristales,Gestión Inm.,Cr. 25D # 8Oeste-290,Apto.,Oeste,3,2,139,Cristales,2,"245,000,000"
Tor. del Bosq. Tor. C,Inv. Const. Renacer,Cr. 3 # 15-15 Oeste,Apto.,Oeste,3,2,139,Santa Teresita,8,"242,000,000"
Torres de Camelot,Corasa ,Av. Circ. Cr. 37,Apto.,Oeste,3,2,139,Cristales,303,"281,777,297"
Oasis de Chipichape,Obasco,Av. 6A Cl. 40,Apto.,Norte,3,2,139,La Flora,6,"212,000,000"
Lomas de Menga,SPIWAK,Av. 9 # 66-34,Apto.,Norte,3,2,139,La Flora,602,"266,660,000"
Torres del Alferez,Const. Melendez,Cr. 118 # 20-02,Apto.,Sur,3,2,139,Ciudad Jardín,301,"305,432,000"
Club de Cam.Morada-La Mezquita,Prom.Nuevo Urbanismo,Parc. La Morada,Casa,Jamundi,3,2,139,La Morada,2,"197,400,000"
