Proyecto,Vende,Dirección,Tipo,Zona,Alc.,# Gar.,Area,Sub Zona,Piso,Psep13
Canto del Río,Const. Melendez,Cr. 1 Oe Cr. 2,Apto.,Oeste,3,2,162,Santa Teresita,604,"410,203,000"
Mont Jüic Aptos,Mecon,Cl. 12AOe  2A-50,Apto.,Oeste,3,2,162,Santa Teresita,303,"341,840,000"
Sol de la Arboleda,Const. Melendez,Vía Panamericana - Entrada Jamundí,Casa,Jamundi,3,2,162,La Morada,2,"252,000,000"
Cántiga del Viento,Trujillo Serrano,Cr. 117 # 9-120,Casa,Sur,3,2,162,Ciudad Jardín,3,"324,500,000"
Reserva de Chipichape,Solanillas,Av. 6D #39-00,Apto.,Norte,3,2,163,La Flora,1004 B,"495,456,290"
Montefiori,Grupo Pijao,Cr. 6 Oeste # 4-300,Apto.,Oeste,3,1,163,Aguacatal,102,"262,000,000"
Porton de Santa Teresita,Artemo y Bienes ,Av. 3 Oeste Cl 10,Apto.,Oeste,3,2,163,Santa Teresita,2,"390,000,000"
Rio Oeste Edif. De Aptos.,Const. Melendez,Av. Rio Cr. 2a y 2 Oeste,Apto.,Oeste,3,2,163,Santa Teresita,603,"486,000,000"
Palmas del Ingenio,Prom. Sta Isabel,Cr. 83 # 18-05,Casa,Sur,3,1,164,Ingenio,2,"220,000,000"
Portal de la Quebrada,Conciviles,Av. 6 Oeste Cl. 5,Apto.,Oeste,3,2,164,Aguacatal,805,"368,921,000"
Ed. Tali,Salo Levy,Cl. 21N Av. 9AN,Apto.,Norte,3,2,164,Sta Monica Nte,3,"333,500,000"
Altos del Cerro,G y G Ing. ,Cl. 1B Oe # 4Oe-200,Apto.,Oeste,3,2,164,Aguacatal,4,"335,000,000"
Bosq. del Oeste,Jaramillo Mora,Cl. 6 Oeste # 10-85,Apto.,Oeste,3,2,165,Aguacatal,7,"265,670,000"
Villas de San Joaquin,Inv. Amnis,Cr. 86 # 18-100,Casa,Sur,3,2,166,Ingenio,1,"194,000,000"
Portal de la Quebrada,Conciviles,Av. 6 Oeste Cl. 5,Apto.,Oeste,3,2,166,Aguacatal,201,"346,105,000"
Altos del Cerro,G y G Ing. ,Cl. 1B Oe # 4Oe-200,Apto.,Oeste,3,2,166,Aguacatal,3,"336,071,000"
Farallones de Pance,Buenavista Const. Prom.,Cl. 6 # 121A-105,Casa,Sur,3,2,166,Ciudad Jardín,3,"306,182,000"
Mirador del Oeste,Cusezar,Cr. 2D Oeste Cl. 12 y 12A,Apto.,Oeste,3,2,167,Santa Teresita,409,"478,975,000"
Bosq. del Oeste,Jaramillo Mora,Cl. 6 Oeste # 10-85,Apto.,Oeste,3,2,167,Aguacatal,1,"299,000,000"
Cántiga del Viento,Trujillo Serrano,Cr. 117 # 9-120,Casa,Sur,3,2,167,Ciudad Jardín,3,"335,500,000"
Hacienda del Alferez II,Const. Bolívar,Cr. 111 Cl. 24 y 25,Casa,Sur,3,2,168,Ciudad Jardín,3 - C63,"407,186,000"
Mir. de Cristales,Gestión Inm.,Cr. 25D # 8Oeste-290,Apto.,Oeste,3,2,168,Cristales,4,"310,000,000"
Bosq. del Oeste,Jaramillo Mora,Cl. 6 Oeste # 10-85,Apto.,Oeste,3,2,168,Aguacatal,202,"366,000,000"
Conj. Resd. Sayada,Const. Juri Mejia,Av. 10 N # 10-73,Apto.,Oeste,3,2,168,Sta Monica Nte,402,"336,500,000"
Molinos de Santa Teresita,Jaramillo Mora,Cl. 17 Oeste  Cr. 1 Oes. Y Cr. 3 Oes.,Apto.,Oeste,3,2,168,Santa Teresita,601 C,"457,500,000"
Cristallo Towers,Solanillas,Av. Circunv. Cr. 25D,Apto.,Oeste,3,2,169,Cristales,5,"522,970,000"
Terrazas de Salvaterra ,Const. Artefacto,Cl. 6 Oeste  6-63,Apto.,Oeste,3,2,169,Santa Teresita,204,"570,800,000"
Altos del Cerro,G y G Ing. ,Cl. 1B Oe # 4Oe-200,Apto.,Oeste,3,2,169,Aguacatal,1,"327,730,000"
Sol de Primavera,Const. Melendez,Vía Panamericana - Entrada Jamundí,Casa,Jamundi,4,2,169,La Morada,2,"231,371,000"
Caminos de San Joaquin,Const. Melendez,Cr. 94 Cl. 25,Casa,Sur,3,1,170,Ingenio,2,"186,600,000"
Altos del Cerro,G y G Ing. ,Cl. 1B Oe # 4Oe-200,Apto.,Oeste,3,2,170,Aguacatal,2,"327,000,000"
Rio Alto,Const. 180 Grados.,Cr. 2 Oe Cl. 13,Apto.,Oeste,3,2,170,Santa Teresita,601,"471,169,000"
Sta. Marìa de los Farallones,Const. Perthell Gonzales,Cr. 37 Cl. 8 Oeste,Apto.,Oeste,3,2,171,Cristales,10,"280,570,000"
Primavera del Rio,Jaime Alvarez Jaramillo,Cr. 2 Oeste # 13-109,Apto.,Oeste,3,2,171,Santa Teresita,dp4,"370,112,000"
Farallones de Pance,Buenavista Const. Prom.,Cl. 6 # 121A-105,Casa,Sur,3,2,171,Ciudad Jardín,3,"318,000,000"
Cantarrana Conj. Resid.,Const. HY&G,Cl. 22A # 121-255,Apto.,Sur,3,2,171,Ciudad Jardín,202,"418,730,400"
Terrazas de Salvaterra ,Const. Artefacto,Cl. 6 Oeste  6-63,Apto.,Oeste,3,2,172,Santa Teresita,PH802,"621,450,000"
Patios de la Flora ,Apiros,Cl. 52 Av. 5 BN,Apto.,Norte,3,2,172,La Flora,1,"267,620,000"
Tierra Alta,Mecon,Cl. 9A Oe #38-120,Apto.,Oeste,3,2,173,Cristales,503,"431,540,000"
Terrazas de Salvaterra ,Const. Artefacto,Cl. 6 Oeste  6-63,Apto.,Oeste,3,2,173,Santa Teresita,402,"461,800,000"
Juanambu Flex,Nagui Sabet Asoc.,Av. 9 Nte # 5-95,Apto.,Oeste,3,2,173,Sta Monica Nte,7,"374,697,000"
Reserva de Cristales,Solanillas,Av. Cerros Cr. 26 y 25F,Apto.,Oeste,3,2,173,Cristales,305,"460,000,000"
Altillo III,Viva Inm.,Av. 10 Nte. # 10-29,Apto.,Oeste,3,2,173,Sta Monica Nte,402,"389,250,000"
Cantarrana Conj. Resid.,Const. HY&G,Cl. 22A # 121-255,Apto.,Sur,3,2,173,Ciudad Jardín,203,"423,430,560"
Azure,Const. Melendez,Av. 5 Oe # 4A-15,Apto.,Oeste,3,3,173,Aguacatal,6,"580,000,000"
Torres de la Arboleda,Grupo Pijao,Cr. 3 Oeste # 7-52,Apto.,Oeste,3,2,174,Santa Teresita,2,"328,200,000"
Lomas de Menga,SPIWAK,Av. 9 # 66-34,Apto.,Norte,3,2,174,La Flora,10,"426,976,000"
Ponte Vedra,Corasa ,Cr. 72 # 13A-56,Apto.,Sur,3,2,174,Ingenio,14,"272,000,000"
Lagos del Polo II,Const. Melendez,Av. Pasoancho Cr. 107,Apto.,Sur,3,3,175,Ciudad Jardín,ph9,"446,576,000"
Bosq. del Oeste,Jaramillo Mora,Cl. 6 Oeste # 10-85,Apto.,Oeste,3,2,175,Aguacatal,1,"369,300,000"
Primavera del Rio,Jaime Alvarez Jaramillo,Cr. 2 Oeste # 13-109,Apto.,Oeste,3,2,175,Santa Teresita,dp4,"377,852,000"
Caminos de San Joaquin,Const. Melendez,Cr. 94 Cl. 25,Casa,Sur,3,1,176,Ingenio,2,"220,954,000"
Lago Club Condominio,Hérnandez Bohmer,Cr. 121 # 18-81,Apto.,Sur,3,1,176,Ciudad Jardín,102,"315,000,000"
Porton de Santa Teresita,Artemo y Bienes ,Av. 3 Oeste Cl 10,Apto.,Oeste,3,2,176,Santa Teresita,2,"426,000,000"
Altos de Normandia,Cusezar,Cl. 1B Oe # 4Oe-201,Apto.,Oeste,3,2,176,Aguacatal,501,"378,000,000"
Esquina de los Vientos,R2 Const.,Cr. 24C # 2-35,Casa,Sur,2,2,176,Cristales,4,"265,000,000"
Bosq. del Oeste,Jaramillo Mora,Cl. 6 Oeste # 10-85,Apto.,Oeste,3,2,177,Aguacatal,2,"333,520,000"
Golf Club,Const. Melendez,Cr. 100B Cl. 11 - 11A,Apto.,Sur,3,2,178,Ciudad Jardín,6,"383,996,000"
Ed. Karkasi,Dklar Asociados,Cl. 4a Oeste # 3-81,Apto.,Oeste,3,2,179,Aguacatal,9,"450,000,000"
Bosq. del Oeste,Jaramillo Mora,Cl. 6 Oeste # 10-85,Apto.,Oeste,3,2,180,Aguacatal,6,"340,000,000"
EL Alminar de la Flora,Giraldo Salazar,Cl. 41N # 4N-170,Apto.,Norte,3,2,180,La Flora,ph9,"278,540,000"
Brisas del Ingenio,Aseprof,Cl. 16 # 84A-30,Apto.,Sur,4,2,180,Ingenio,4,"255,000,000"
Atelier Edificio,JM Inm.,Av. 10A Nte. # 7-64,Apto.,Oeste,3,2,180,Sta Monica Nte,4,"396,000,000"
La Riviere Avenue,Jaime Cardenas,Cl. 11 Oe Cr. 1 - 2,Apto.,Oeste,3,2,180,Santa Teresita,501,"454,520,000"
Villa Magna,Solevento,Cl. 1B # 55-56,Apto.,Sur,3,1,180,El Refugio,401,"337,671,000"
Mirador del Alferez,Const. Melendez,Cr. 118 Cl. 18 y 20,Apto.,Sur,3,2,180,Ciudad Jardín,301,"483,923,000"
Rio alto Apto,Const. 180 Grados.,Cr. 1 Oeste # 13-45,Apto.,Oeste,3,3,181,Santa Teresita,603,"686,000,000"
Montevechio,Grupo Pijao,Cl. 6 Oeste # 4-300,Apto.,Oeste,3,2,181,Aguacatal,605,"409,000,000"
Porton de Santa Teresita,Artemo y Bienes ,Av. 3 Oeste Cl 10,Apto.,Oeste,3,2,181,Santa Teresita,601,"409,000,000"
Terrazas de Salvaterra ,Const. Artefacto,Cl. 6 Oeste  6-63,Apto.,Oeste,3,2,181,Santa Teresita,ph803F,"646,150,000"
Terrazas de Salvaterra ,Const. Artefacto,Cl. 6 Oeste  6-63,Apto.,Oeste,3,2,182,Santa Teresita,403,"486,800,000"
La Riviere Avenue,Jaime Cardenas,Cl. 11 Oe Cr. 1 - 2,Apto.,Oeste,3,2,182,Santa Teresita,502,"457,050,000"
Rio Oeste Edif. De Aptos.,Const. Melendez,Av. Rio Cr. 2a y 2 Oeste,Apto.,Oeste,3,2,182,Santa Teresita,601,"509,000,000"
Conj. Res. Ines de Lara,Ordara Const.,Cl. 22A # 121-180,Apto.,Sur,3,1,183,Ciudad Jardín,3,"329,000,000"
Esquina de los Vientos,R2 Const.,Cr. 24C # 2-35,Casa,Sur,2,2,183,Cristales,4,"305,000,000"
Rincón de Ciudad Jardin,Inm. Ciudad Jardin,Cr. 100 Cl. 19,Apto.,Sur,3,2,184,Ciudad Jardín,PH11,"329,160,128"
Santangello,Indico,Av. 5 Oest.# 5A-175,Apto.,Oeste,3,2,185,Aguacatal,207,"563,000,000"
Ed. Karkasi,Dklar Asociados,Cl. 4a Oeste # 3-81,Apto.,Oeste,3,2,185,Aguacatal,202,"415,000,000"
Santiago de Normandia,Indico,Cl. 5 Oe #5A-41,Apto.,Oeste,3,2,185,Aguacatal,904,"450,000,000"
Bosq. del Oeste,Jaramillo Mora,Cl. 6 Oeste # 10-85,Apto.,Oeste,3,2,186,Aguacatal,6,"364,740,000"
Torres de Fenicia 2,Artemo y Bienes ,Cr. 1 Oeste # 6-11,Apto.,Oeste,3,2,186,Santa Teresita,202,"417,420,000"
Hacienda del Alferez II,Const. Bolívar,Cr. 111 Cl. 24 y 25,Casa,Sur,3,2,187,Ciudad Jardín,3,"318,356,000"
Terrazas de Salvaterra ,Const. Artefacto,Cl. 6 Oeste  6-63,Apto.,Oeste,3,2,189,Santa Teresita,404,"504,700,000"
Terrazas de Salvaterra ,Const. Artefacto,Cl. 6 Oeste  6-63,Apto.,Oeste,3,2,189,Santa Teresita,PH804,"674,709,000"
Reserva de Cristales,Solanillas,Av. Cerros Cr. 26 y 25F,Apto.,Oeste,3,2,189,Cristales,802,"480,000,000"
Arboledas 360,JM Inm.,Cr. 2b Oeste  5-168,Apto.,Oeste,3,2,190,Santa Teresita,901,"554,000,000"
Portal de Jockey II,Const. Melendez,Av. Pasoancho Cr. 106,Casa,Sur,3,1,190,Ciudad Jardín,2,"373,166,000"
Mir. de Cristales,Gestión Inm.,Cr. 25D # 8Oeste-290,Apto.,Oeste,3,2,190,Cristales,4,"335,000,000"
Bosq. del Oeste,Jaramillo Mora,Cl. 6 Oeste # 10-85,Apto.,Oeste,3,2,190,Aguacatal,504,"435,000,000"
La Morada Cond. Club,Const. Alpes,Parc. La Morada,Casa,Jamundi,3,2,190,La Morada,2,"303,607,000"
Cristallo Towers,Solanillas,Av. Circunv. Cr. 25D,Apto.,Oeste,3,2,191,Cristales,5,"591,945,000"
Montevechio,Grupo Pijao,Cl. 6 Oeste # 4-300,Apto.,Oeste,3,2,191,Aguacatal,203,"396,000,000"
Terrazas al Parque,Const. Rodanar,Cr. 83 # 13A1-20,Apto.,Sur,3,1,191,Ingenio,4,"289,044,000"
Golf Club,Const. Melendez,Cr. 100B Cl. 11 - 11A,Apto.,Sur,3,2,191,Ciudad Jardín,301,"426,126,000"
Reserva de Cristales,Solanillas,Av. Cerros Cr. 26 y 25F,Apto.,Oeste,3,2,191,Cristales,4,"447,337,000"
Altos de Normandia,Cusezar,Cl. 1B Oe # 4Oe-201,Apto.,Oeste,3,2,191,Aguacatal,502,"411,000,000"
Palo Verde,Const. Bolívar,Cr. 122 Cl. 11,Apto.,Sur,3,2,192,Ciudad Jardín,201 A,"551,830,000"
Palo Verde,Const. Bolívar,Cr. 122 Cl. 11,Apto.,Sur,3,2,192,Ciudad Jardín,404 A,"614,760,000"
Palo Verde,Const. Bolívar,Cr. 122 Cl. 11,Apto.,Sur,3,2,192,Ciudad Jardín,102 A,"611,911,000"
Reserva de Cristales,Solanillas,Av. Cerros Cr. 26 y 25F,Apto.,Oeste,3,2,192,Cristales,504,"501,500,000"
Altomonte,Amarilo,Cr. 56 # 1A Oeste-50,Casa,Sur,4,1,192,El Refugio,3,"304,000,000"
Caminos de San Joaquin,Const. Melendez,Cr. 94 Cl. 25,Casa,Sur,3,1,193,Ingenio,2,"237,275,000"
Porton de Santa Teresita,Artemo y Bienes ,Av. 3 Oeste Cl 10,Apto.,Oeste,3,2,193,Santa Teresita,6,"468,000,000"
Ed. Karkasi,Dklar Asociados,Cl. 4a Oeste # 3-81,Apto.,Oeste,3,2,194,Aguacatal,3,"410,000,000"
Reserva del Oeste,Grupo Alan,Av. 12 Oe # 6 Oe-18,Apto.,Oeste,3,2,194,Aguacatal,601,"553,870,000"
Farallones de Sta Teresita,Socorro Escobar,Cl. 12A Oeste Cr. 2B,Apto.,Oeste,3,2,195,Santa Teresita,4,"389,800,000"
Plazuela de la María,Prom.Nuevo Urbanismo,Av. La María Cl. 16A,Casa,Sur,3,2,196,Ciudad Jardín,2,"395,000,000"
Club de Cam.Morada-La Mezquita,Prom.Nuevo Urbanismo,Parc. La Morada,Casa,Jamundi,3,2,196,La Morada,1,"310,000,000"
Rincón de Fatima,Liliana Hurtado,Cr. 180 Av. Cañasgordas,Casa,Sur,3,2,196,Ciudad Jardín,1,"340,000,000"
Rincón de Fatima,Const. Rincon de Fatima,Cr. 180 # 10-41,Casa,Sur,4,2,196,Ciudad Jardín,2,"370,000,000"
Reserva del Oeste,Grupo Alan,Av. 12 Oe # 6 Oe-18,Apto.,Oeste,3,2,198,Aguacatal,602,"625,284,000"
Farallones de Sta Teresita,Socorro Escobar,Cl. 12A Oeste Cr. 2B,Apto.,Oeste,3,2,198,Santa Teresita,4,"387,972,000"
Brisas del Oeste,Sol. Urbanas,Cl. 2 Oe # 13-27,Apto.,Oeste,3,2,198,Santa Teresita,Dp8,"420,000,000"
Esquina de los Vientos,R2 Const.,Cr. 24C # 2-35,Casa,Sur,2,2,198,Cristales,4,"310,000,000"
Solares de Pance I,Const. Bolívar,Cr. 144 Cl. 7,Casa,Sur,3,1,199,Ciudad Jardín,1,"240,000,000"
Montevechio,Grupo Pijao,Cl. 6 Oeste # 4-300,Apto.,Oeste,3,2,199,Aguacatal,103,"392,000,000"
Quintas de Pance,Const. Bolívar,Cr. 144 Cl. 7,Casa,Sur,3,1,199,Ciudad Jardín,2,"271,876,000"
Paraiso de la Morada,Const. Bolívar,Parc. Solares la Morada,Casa,Jamundi,4,4,199,La Morada,2 C-33,"303,000,000"
Santangello,Indico,Av. 5 Oest.# 5A-175,Apto.,Oeste,3,2,199,Aguacatal,106,"672,683,000"
Altavista de Normandia,Jaramillo Mora,Av. 6 Oeste # 5-200,Apto.,Oeste,3,2,200,Aguacatal,604,"589,500,000"
Portales del Castillo ,Const. El Castillo,Via Cali - Jamundi,Casa,Jamundi,3,2,200,La Morada,2 C59,"418,800,000"
Solares de Pance II,Const. Bolívar,Cr. 144 Cl. 7,Casa,Sur,4,1,200,Ciudad Jardín,1,"246,000,000"
Torremolinos,Socorro Escobar,Cl. 58N # 4N-76,Apto.,Norte,3,3,200,La Flora,ph8,"297,500,000"
Patios de la Flora ,Apiros,Cl. 52 Av. 5 BN,Apto.,Norte,3,2,200,La Flora,101,"286,410,000"
Brisas del Ingenio,Aseprof,Cl. 16 # 84A-30,Apto.,Sur,4,2,200,Ingenio,4,"284,700,000"
Rincón de Ciudad Jardin,Inm. Ciudad Jardin,Cr. 100 Cl. 19,Casa,Sur,3,1,200,Ciudad Jardín,3,"272,250,000"
Azul Mediterraneo,Const. E Inv. Gómez,Cl. 9B Oe # 4-134,Apto.,Oeste,3,1,200,Cristales,102,"380,000,000"
Azure,Const. Melendez,Av. 5 Oe # 4A-15,Apto.,Oeste,3,3,201,Aguacatal,6,"652,000,000"
Terrazas de Pance,Inv. Nuevo Siglo,Cl. 18 # 125-61,Apto.,Sur,3,2,201,Ciudad Jardín,301,"391,930,000"
Bosq. de Pance,Hérnandez Bohmer,Av. La Maria Cl. 16B,Casa,Sur,3,2,202,Ciudad Jardín,1,"306,000,000"
Alameda de Pance,Const. Bolívar,Cr. 146 Y 148 Cl. 7,Casa,Sur,3,2,202,Ciudad Jardín,1,"218,300,000"
Colinas de Pance,Const. Bolívar,Av. Farallones Cl. 137,Casa,Sur,3,2,202,Ciudad Jardín,1,"209,336,000"
Sta. Marìa de los Farallones,Const. Perthell Gonzales,Cr. 37 Cl. 8 Oeste,Casa,Oeste,3,2,202,Cristales,1,"266,572,000"
Alferez II,Const. Melendez,Cr. 118 # 20-02,Casa,Sur,3,2,203,Ciudad Jardín,2,"359,090,000"
Sendero del Lili,Helmar Hernando Correa,Cr. 86 Cl. 48,Casa,Sur,3,1,203,Caney,2,"170,000,000"
Balc. del Campestre,Cusezar,Cr. 102 # 11-45,Apto.,Sur,3,2,204,Ciudad Jardín,401,"513,812,000"
La Morada Cond. Club,Const. Alpes,Parc. La Morada,Casa,Jamundi,3,2,204,La Morada,1,"350,790,000"
Torres de Fenicia 2,Artemo y Bienes ,Cr. 1 Oeste # 6-11,Apto.,Oeste,3,2,204,Santa Teresita,903,"486,484,000"
Palmas del Ingenio,Prom. Sta Isabel,Cr. 83 # 18-05,Casa,Sur,4,1,205,Ingenio,3,"270,000,000"
Altos de Umbria,Const. del Valle ,Cr. 116 Cl. 11a,Casa,Sur,3,2,205,Ciudad Jardín,2,"380,000,000"
Sendero de Valladares,Suhabitat,Cl. 5D Oe Cr. 15,Apto.,Oeste,3,2,207,Aguacatal,Dp11,"460,000,000"
Casas del Alferez IV,Const. Melendez,Cr. 118 A # 20-02,Casa,Sur,3,2,207,Ciudad Jardín,2 C-36,"415,000,000"
Bosq. del Oeste,Jaramillo Mora,Cl. 6 Oeste # 10-85,Apto.,Oeste,3,2,208,Aguacatal,502,"552,000,000"
Ed. La Cumbre,JM Inm.,Cl. 6 Oeste Cr. 5,Apto.,Oeste,3,2,208,Cristales,4,"410,750,000"
Altillo III,Viva Inm.,Av. 10 Nte. # 10-29,Apto.,Oeste,3,2,208,Sta Monica Nte,Dp3,"468,000,000"
Ed. El Cedro,Liliana Soto,Cl. 7 Oe # 3-98,Apto.,Oeste,3,3,209,Santa Teresita,401,"509,800,000"
Torres de Fenicia 2,Artemo y Bienes ,Cr. 1 Oeste # 6-11,Apto.,Oeste,3,2,209,Santa Teresita,904,"500,298,000"
Casa de Campo,Hérnandez Bohmer,Av. La Maria Cl. 16B,Casa,Sur,4,2,210,Ciudad Jardín,1,"401,000,000"
Montefiori,Grupo Pijao,Cr. 6 Oeste # 4-300,Apto.,Oeste,3,2,210,Aguacatal,ph11,"387,000,000"
Ed. Sotara,JM Inm.,Av. Cristo Rey Cl. 4,Apto.,Oeste,3,2,211,Cristales,Ph8,"263,864,500"
Lomas de Menga,SPIWAK,Av. 9 # 66-34,Apto.,Norte,3,2,212,La Flora,502,"545,798,000"
La Morada Cond. Club,Const. Alpes,Parc. La Morada,Casa,Jamundi,3,2,213,La Morada,2,"356,000,000"
Norten,Ing. Const. Centenario,Av. 10 N # 7-62,Apto.,Oeste,3,2,213,Sta Monica Nte,D501,"365,251,000"
Santorino Club House,Habitek,Cl. 20 # 118-285,Apto.,Sur,3,2,213,Ciudad Jardín,205,"532,500,000"
Forestal Club,Jaramillo Mora,Via Cali - Rozo,Casa,Campestre,3,2,215,Campestre,1 C26,"658,200,000"
Calle Real de Pasoancho,Proy. y Propiedades,Cl. 13 # 50-80,Apto.,Sur,4,2,215,Ingenio,1,"180,000,000"
Club de Campo la Morada,JM Inm.,Parc. La Morada,Casa,Jamundi,3,2,215,La Morada,1,"295,000,000"
Reserva del Oeste,Grupo Alan,Av. 12 Oe # 6 Oe-18,Apto.,Oeste,3,3,216,Aguacatal,603,"680,400,000"
Santiago del Oeste,Indico,Cl. 1B oeste # 4oes-200,Apto.,Oeste,3,2,216,Aguacatal,801,"506,400,000"
Rincón de Ciudad Jardin,Inm. Ciudad Jardin,Cr. 100 Cl. 19,Apto.,Sur,3,2,217,Ciudad Jardín,PH11,"404,000,000"
Altos de Umbria,Const. del Valle ,Cr. 116 Cl. 11a,Casa,Sur,3,2,217,Ciudad Jardín,2,"390,000,000"
Conj. Res. Ines de Lara,Ordara Const.,Cl. 22A # 121-180,Apto.,Sur,3,2,217,Ciudad Jardín,202,"479,000,000"
Ed. Tali,Salo Levy,Cl. 21N Av. 9AN,Apto.,Norte,3,2,218,Sta Monica Nte,Ph6,"456,000,000"
Santiago de Normandia,Indico,Cl. 5 Oe #5A-41,Apto.,Oeste,3,2,218,Aguacatal,406,"510,400,000"
Esquina de los Vientos,R2 Const.,Cr. 24C # 2-35,Casa,Sur,3,2,219,Cristales,4,"370,000,000"
Mont Jüic Aptos,Mecon,Cl. 12AOe  2A-50,Apto.,Oeste,3,2,219,Santa Teresita,604,"428,050,000"
Reserva del Oeste,Grupo Alan,Av. 12 Oe # 6 Oe-18,Apto.,Oeste,3,2,220,Aguacatal,604,"694,760,000"
Rivera Campestre,Anmis Pijao,Cr. 114 # 9-59,Casa,Sur,3,1,220,Ciudad Jardín,3,"397,000,000"
Bosq. del Oeste,Jaramillo Mora,Cl. 6 Oeste # 10-85,Apto.,Oeste,3,2,220,Aguacatal,503,"476,400,000"
Pinal del Cerro ,Const. Melian,Cr. 68 # 13B-61,Apto.,Sur,4,2,220,Ingenio,11,"346,500,000"
Villa Magna,Solevento,Cl. 1B # 55-56,Apto.,Sur,3,1,220,El Refugio,Dp7,"401,000,000"
Colinas de Monterrey,Espacio Ideal,Cl. 14 Oeste # 5-250,Casa,Oeste,3,2,220,Cristales,2,"378,750,000"
Santangello,Indico,Av. 5 Oest.# 5A-175,Apto.,Oeste,3,2,221,Aguacatal,"1,006","629,850,000"
Cristallo Towers,Solanillas,Av. Circunv. Cr. 25D,Apto.,Oeste,3,2,221,Cristales,5,"686,030,000"
Portal de Jockey II,Const. Melendez,Av. Pasoancho Cr. 106,Casa,Sur,4,1,222,Ciudad Jardín,2,"433,086,000"
Ed. Karkasi,Dklar Asociados,Cl. 4a Oeste # 3-81,Apto.,Oeste,3,2,223,Aguacatal,301,"480,000,000"
Ed. La Cumbre,JM Inm.,Cl. 6 Oeste Cr. 5,Apto.,Oeste,3,2,223,Cristales,3,"434,202,000"
Edificio Ruby,G y M Consultores,Av. 2 Oe # 12-52,Apto.,Oeste,3,2,223,Santa Teresita,Dp8,"489,295,000"
Club de Cam.Morada-La Mezquita,Prom.Nuevo Urbanismo,Parc. La Morada,Casa,Jamundi,3,2,223,La Morada,2,"335,000,000"
Santiago del Oeste,Indico,Cl. 1B oeste # 4oes-200,Apto.,Oeste,3,2,223,Aguacatal,803,"521,450,000"
Azure,Const. Melendez,Av. 5 Oe # 4A-15,Apto.,Oeste,3,3,224,Aguacatal,6,"715,000,000"
Cond. Sta. Barbara Altillo,G y G Arq. Asoc.,Cr. 24C Oeste # 6-85,Casa,Oeste,3,1,224,Cristales,3,"335,000,000"
Tamarindo,Prom. Menga,Cl. 67 N Av. 9 N,Apto.,Norte,3,3,224,La Flora,2,"513,355,000"
Mir. de Chipichape,Balc. de Chipichape,Cl. 40 N # 6AN-20,Apto.,Norte,3,1,225,La Flora,ph12,"347,437,650"
Conj. La Flora,Socorro Escobar,Av. 3B Bis # 58N-31,Casa,Norte,3,1,225,La Flora,2,"250,000,000"
Azure,Const. Melendez,Av. 5 Oe # 4A-15,Apto.,Oeste,3,3,225,Aguacatal,6,"719,000,000"
Bagatell,Const. Melendez,Av. Pasoancho Cr. 107,Apto.,Sur,3,3,226,Ciudad Jardín,3,"469,665,000"
Mir. de Chipichape,Balc. de Chipichape,Cl. 40 N # 6AN-20,Apto.,Norte,4,1,227,La Flora,ph12,"368,768,600"
Reserva de Normandia,Buenavista Const. Prom.,Av. 6 Oe # 5-170,Apto.,Oeste,3,3,227,Aguacatal,6,"485,476,000"
Santangello,Indico,Av. 5 Oest.# 5A-175,Apto.,Oeste,3,2,227,Aguacatal,Ph12,"921,950,000"
Mir. de Sta Teresita,Const. Bariloche,Cr. 12A Oeste # 2A-90,Casa,Oeste,3,2,228,Santa Teresita,1,"360,000,000"
Altavista de Normandia,Jaramillo Mora,Av. 6 Oeste # 5-200,Apto.,Oeste,3,2,229,Aguacatal,602,"696,500,000"
Cristallo Towers,Solanillas,Av. Circunv. Cr. 25D,Apto.,Oeste,3,2,229,Cristales,5,"709,900,000"
Farallones de Sta Teresita,Socorro Escobar,Cl. 12A Oeste Cr. 2B,Apto.,Oeste,3,2,229,Santa Teresita,1,"436,740,000"
Ed. El Cedro,Liliana Soto,Cl. 7 Oe # 3-98,Apto.,Oeste,3,3,229,Santa Teresita,402,"555,280,000"
Santa Maria,Const. Melendez,Av. 5 Oe # 4A-15,Apto.,Oeste,3,3,230,Aguacatal,601,"561,211,900"
Azul Mediterraneo,Const. E Inv. Gómez,Cl. 9B Oe # 4-134,Apto.,Oeste,3,1,230,Cristales,201,"437,000,000"
Rincón de Fatima,Const. Rincon de Fatima,Cr. 180 # 10-41,Casa,Sur,3,2,230,Ciudad Jardín,1,"420,000,000"
Bagatell,Const. Melendez,Av. Pasoancho Cr. 107,Apto.,Sur,3,3,231,Ciudad Jardín,3,"477,729,000"
Bosq. del Oeste,Jaramillo Mora,Cl. 6 Oeste # 10-85,Apto.,Oeste,3,2,231,Aguacatal,501,"590,000,000"
Santiago de Compostela,Mecon,Cl. 14 Oeste # 2B-18,Apto.,Oeste,3,2,234,Santa Teresita,4,"397,800,000"
Club de Campo la Morada II,Prom.Nuevo Urbanismo,Parc. La Morada,Casa,Jamundi,3,2,234,La Morada,1,"475,150,000"
Santiago del Oeste,Indico,Cl. 1B oeste # 4oes-200,Apto.,Oeste,3,2,234,Aguacatal,4,"527,100,000"
Conj. La Flora,Socorro Escobar,Av. 3B Bis # 58N-31,Casa,Norte,3,1,235,La Flora,2,"260,000,000"
Cantarrana Conj. Resid.,Const. HY&G,Cl. 22A # 121-255,Apto.,Sur,3,2,235,Ciudad Jardín,501,"586,934,400"
